date,requests,pageViews,uniques
2023-09-03,40368,3773,2161
2023-09-04,48769,4336,2323
2023-09-05,54121,4964,2346
2023-09-06,52499,4044,2425
2023-09-07,46547,3769,2267
2023-09-08,52442,4142,2380
2023-09-09,41811,3240,1851
2023-09-10,38744,3051,1835
2023-09-11,55501,5004,2650
2023-09-12,54600,4113,2752
2023-09-13,54261,4655,2553
2023-09-14,52927,4272,2454
2023-09-15,46347,3541,2257
2023-09-16,51207,3666,2772
2023-09-17,46062,3590,2425
2023-09-18,57283,4455,2698
2023-09-19,56011,4058,2736
2023-09-20,52588,4098,2758
2023-09-21,48530,3663,2351
2023-09-22,46972,3775,2164
2023-09-23,39633,3163,1851
2023-09-24,41869,3192,1964
2023-09-25,92501,6457,4742
2023-09-26,72725,5440,3702
2023-09-27,54696,4606,2638
2023-09-28,69583,5677,2583
2023-09-29,48497,3912,2501
2023-09-30,47168,4025,2054
2023-10-01,40706,3377,1990
2023-10-02,62917,4218,2811
2023-10-03,57787,4177,2877
2023-10-04,66829,4589,3007
2023-10-05,54743,3738,2581
2023-10-06,46297,3434,2479
2023-10-07,35660,2786,1903
2023-10-08,37170,2984,1713
2023-10-09,49428,3814,2309
2023-10-10,55555,4155,2461
2023-10-11,49193,4036,2608
2023-10-12,45577,3449,2540
2023-10-13,42969,3412,2416
2023-10-14,35980,3118,2176
2023-10-15,38958,3039,2105
2023-10-16,52543,4210,2563
2023-10-17,49480,3878,2496
2023-10-18,48349,3784,2470
2023-10-19,45197,3544,2174
2023-10-20,41009,3600,2135
2023-10-21,40805,3710,1824
2023-10-22,35606,3566,1760
2023-10-23,46069,3969,2134
2023-10-24,54233,5093,2928
2023-10-25,53752,6067,3245
2023-10-26,41733,3937,2253
2023-10-27,35075,3322,1938
2023-10-28,30036,2971,1574
2023-10-29,34089,3257,1696
2023-10-30,36989,3323,1787
2023-10-31,33489,2864,1787
2023-11-01,36875,3621,1660
2023-11-02,20347,1433,1108
2023-11-03,22,0,2
2023-11-04,34931,4088,1668
2023-11-05,35714,3158,1774
2023-11-06,41352,3373,2161
2023-11-07,43614,3652,2135
2023-11-08,43679,3791,2305
2023-11-09,42345,3933,2052
2023-11-10,42070,3662,2139
2023-11-11,33203,3079,1781
2023-11-12,32202,3071,1863
2023-11-13,47466,3923,2625
2023-11-14,47197,4265,2632
2023-11-15,51224,5654,2619
2023-11-16,46189,5110,2189
2023-11-17,42843,3478,2316
2023-11-18,31628,2646,1734
2023-11-19,33264,2933,1826
2023-11-20,46422,4330,2262
2023-11-21,52011,4396,2367
2023-11-22,42644,4206,2090
2023-11-23,42816,4015,2166
2023-11-24,41397,3774,1969
2023-11-25,34688,3569,1821
2023-11-26,34264,2794,1777
2023-11-27,60723,4330,2680
2023-11-28,76704,5558,3009
